Date,Number of Drivers,Inventory Level,Depot,Quantity Delivered(m3),Distance from Depot (km),Number of Stations,Discounts,Number of Pickups per Day,Demand
2/27/2023,6,2496171,2,81,74,7,0,10,15.0
2/27/2023,11,8582536,2,95,51,19,1,19,52.25
2/27/2023,13,3885792,1,111,18,5,1,10,32.5
3/1/2023,10,8090411,2,23,38,16,1,16,40.0
3/1/2023,10,588316,2,166,73,8,0,5,12.5
3/2/2023,8,8289029,1,45,56,13,1,7,14.000000000000002
3/2/2023,16,7246065,1,82,1,3,0,13,52.0
3/2/2023,13,2412756,1,146,48,18,1,19,61.75000000000001
3/3/2023,5,6061608,1,72,55,15,0,8,10.0
3/3/2023,18,6480245,2,97,21,3,1,19,85.50000000000001
3/4/2023,17,3077500,2,140,67,2,2,7,29.75
3/4/2023,12,5623276,2,92,50,16,1,14,42.0
3/4/2023,9,6841942,1,13,47,1,0,7,15.75
3/4/2023,12,4148847,1,80,21,10,2,15,45.0
3/5/2023,11,601528,2,187,54,12,0,14,38.5
3/6/2023,18,369419,2,32,78,4,2,15,67.5
3/6/2023,6,3152710,1,84,29,19,0,11,16.5
3/6/2023,16,3616923,1,108,66,20,1,14,56.00000000000001
3/6/2023,15,7770672,1,11,32,14,1,20,75.0
3/7/2023,10,5693333,1,145,58,20,2,20,50.0
3/7/2023,17,9154711,1,115,46,11,1,9,38.25
3/7/2023,17,1444820,1,20,18,17,1,11,46.75
3/8/2023,11,6565861,1,73,58,0,1,9,24.75
3/8/2023,10,4849531,1,105,24,0,2,10,25.0
3/8/2023,10,3044657,2,178,7,2,0,8,20.0
3/8/2023,19,3366669,2,160,44,12,1,13,61.75000000000001
3/8/2023,13,21916,1,115,78,12,0,11,35.75
3/9/2023,7,8949734,2,153,79,10,0,15,26.25
3/9/2023,8,4611725,1,43,3,9,1,14,28.000000000000004
3/9/2023,19,3043658,1,22,32,6,2,13,61.75000000000001
3/9/2023,7,2326845,2,116,38,11,0,17,29.75
3/10/2023,7,4339992,1,45,63,1,1,18,31.5
3/10/2023,20,3331688,2,27,61,6,2,17,85.0
3/10/2023,18,2913921,1,161,49,1,0,6,27.0
3/10/2023,10,2230539,1,162,38,14,1,11,27.500000000000004
3/11/2023,14,8883729,1,135,73,9,0,6,21.0
3/11/2023,19,1542749,1,80,79,4,0,8,38.0
3/12/2023,5,8392815,1,180,76,10,1,9,11.25
3/12/2023,13,2892948,1,28,21,0,2,6,19.5
3/12/2023,12,55203,2,129,32,13,2,10,30.0
3/12/2023,15,4382982,1,125,62,10,0,14,52.5
3/13/2023,13,453909,2,77,76,13,1,12,39.0
3/14/2023,20,8020168,2,28,57,7,2,5,25.0
3/14/2023,17,3076796,1,21,37,18,1,5,21.25
3/15/2023,16,8705825,2,37,23,5,1,20,80.0
3/16/2023,14,1094998,2,109,66,2,2,8,28.000000000000004
3/16/2023,19,4213798,2,75,65,11,0,19,90.25
3/17/2023,7,9109566,2,13,71,10,0,18,31.5
3/17/2023,20,7656496,2,151,35,0,2,5,25.0
3/18/2023,9,2615633,2,188,44,7,1,7,15.75
3/19/2023,11,2366595,1,50,18,1,2,19,52.25
3/19/2023,6,6336390,2,60,27,19,1,17,25.499999999999996
3/19/2023,18,3233609,1,38,76,12,2,14,63.0
3/20/2023,16,8576051,2,62,53,7,0,19,76.0
3/20/2023,6,9845174,2,16,43,6,1,16,24.0
3/20/2023,11,8384044,2,134,14,18,0,13,35.75
3/20/2023,18,4875329,1,58,1,13,0,7,31.5
3/21/2023,18,4284558,2,125,58,2,1,15,67.5
3/21/2023,17,1896569,2,134,14,4,2,5,21.25
3/21/2023,9,1558906,1,17,23,9,0,20,45.0
3/22/2023,7,9790054,1,164,33,20,0,9,15.75
3/22/2023,16,831014,2,183,41,3,0,16,64.0
3/22/2023,13,6189494,2,86,69,19,0,17,55.25
3/23/2023,13,9606475,1,19,69,17,2,11,35.75
3/23/2023,20,2425667,2,101,36,9,0,5,25.0
3/23/2023,19,1656121,2,80,36,4,1,12,56.99999999999999
3/24/2023,9,4846624,1,146,56,19,2,17,38.25
3/24/2023,16,8869600,2,115,8,14,0,13,52.0
3/25/2023,5,1231465,2,20,60,4,1,16,20.0
3/25/2023,14,4771066,1,147,1,1,2,9,31.5
3/26/2023,14,9161308,1,110,24,14,1,6,21.0
3/27/2023,20,3631985,1,152,39,17,2,12,60.0
3/27/2023,20,9291196,1,114,31,15,0,8,40.0
3/27/2023,17,710873,2,103,44,3,2,10,42.5
3/27/2023,13,6778664,2,73,40,6,0,14,45.5
3/27/2023,12,5310164,1,147,13,7,0,17,50.99999999999999
3/27/2023,18,5473955,2,126,21,13,1,15,67.5
3/27/2023,11,3771960,1,181,47,10,2,13,35.75
3/27/2023,14,7502274,2,179,61,12,0,11,38.5
3/27/2023,7,7950578,2,129,13,10,0,11,19.25
3/27/2023,15,4231402,1,116,20,8,1,10,37.5
3/27/2023,14,6622785,2,113,16,10,0,9,31.5
3/27/2023,10,7970114,2,166,21,16,0,13,32.5
3/27/2023,18,5712203,1,68,5,17,2,9,40.5
3/27/2023,20,3757226,2,191,61,16,1,17,85.0
3/27/2023,10,6450260,1,89,31,4,2,13,32.5
3/27/2023,19,7221072,1,97,44,18,0,10,47.5
3/27/2023,14,4041326,2,87,4,11,2,13,45.5
3/27/2023,19,4994107,2,53,13,17,2,10,47.5
3/27/2023,8,7591176,2,105,61,7,0,16,32.0
3/27/2023,16,8451550,2,66,37,14,2,11,44.00000000000001
3/27/2023,10,6947416,2,143,39,12,0,8,20.0
3/27/2023,17,5313245,1,150,8,13,2,9,38.25
3/27/2023,20,8918444,2,150,58,15,2,11,55.00000000000001
3/27/2023,13,6149453,1,152,57,7,2,10,32.5
3/27/2023,12,8327571,1,46,64,14,1,8,24.0
3/27/2023,15,2996323,2,122,51,18,0,9,33.75
3/27/2023,10,7250493,2,59,53,7,1,13,32.5
3/27/2023,10,5004669,2,36,6,10,0,9,22.5
3/27/2023,7,1878107,2,69,63,14,2,12,21.0
3/27/2023,13,2019426,2,125,19,10,2,14,45.5
3/27/2023,8,3260005,1,87,38,4,2,17,34.0
3/27/2023,10,2207573,1,71,50,7,0,10,25.0
3/27/2023,10,6272349,1,87,34,5,0,16,40.0
3/27/2023,17,7294528,1,93,36,13,0,14,59.5
3/27/2023,16,3394316,1,100,24,12,1,17,68.0
3/27/2023,11,2533588,2,177,16,13,0,11,30.25
3/27/2023,8,5881161,1,65,70,9,0,17,34.0
3/27/2023,18,5246100,2,114,43,6,0,10,45.0
3/27/2023,12,7111298,2,173,6,8,0,14,42.0
3/27/2023,7,3631098,1,170,6,8,0,12,21.0
3/27/2023,17,4523767,2,70,69,14,2,9,38.25
3/27/2023,8,3807280,2,116,63,8,2,10,20.0
3/27/2023,15,7689031,2,177,4,17,0,16,60.0
3/27/2023,19,6719616,2,72,69,7,1,10,47.5
3/27/2023,20,5511837,1,52,54,11,0,17,85.0
3/28/2023,10,3796049,2,119,25,8,1,17,42.5
3/28/2023,10,4091325,1,73,35,6,1,11,27.500000000000004
3/28/2023,7,6867748,1,50,41,13,2,9,15.75
3/28/2023,19,5544576,2,40,40,17,2,8,38.0
3/28/2023,7,7576400,2,169,14,7,1,13,22.75
3/28/2023,12,7252777,1,101,58,9,2,17,50.99999999999999
3/28/2023,8,7850632,1,115,66,13,1,9,18.0
3/28/2023,14,3620456,2,93,25,10,1,15,52.5
3/28/2023,20,6011936,1,156,49,12,0,17,85.0
3/28/2023,20,6353579,1,107,22,13,1,13,65.0
3/28/2023,17,5293151,2,133,47,4,1,11,46.75
3/28/2023,7,6416941,2,134,36,17,0,8,14.000000000000002
3/28/2023,9,8685937,1,86,24,9,0,8,18.0
3/28/2023,12,4990898,1,57,65,15,0,8,24.0
3/28/2023,20,7681913,2,41,44,11,2,11,55.00000000000001
3/28/2023,7,5213292,2,190,40,6,1,14,24.500000000000004
3/28/2023,7,6883108,2,177,9,15,0,13,22.75
3/28/2023,18,5220437,2,72,37,16,2,10,45.0
3/28/2023,14,3830110,1,52,55,16,2,13,45.5
3/28/2023,10,7455351,2,181,22,13,0,9,22.5
3/28/2023,8,6787737,1,57,44,5,1,12,24.0
3/28/2023,15,4141091,2,78,41,4,2,8,30.0
3/28/2023,9,4199917,1,170,15,15,2,15,33.75
3/28/2023,12,7278111,1,62,9,16,1,10,30.0
3/28/2023,10,5986491,2,98,16,11,2,14,35.0
3/28/2023,9,8859968,2,77,41,14,1,13,29.25
3/28/2023,11,4326737,1,96,61,5,2,10,27.500000000000004
3/28/2023,15,2271875,2,67,29,15,1,14,52.5
3/28/2023,12,8029456,2,62,38,6,1,9,27.0
3/28/2023,20,8524597,1,127,50,7,1,17,85.0
3/28/2023,10,7091433,2,147,37,11,0,17,42.5
3/28/2023,9,8253132,2,107,17,5,2,11,24.75
3/28/2023,9,8098783,1,59,24,15,1,10,22.5
3/29/2023,19,120516,1,199,42,6,0,16,76.0
3/29/2023,6,4930935,1,178,9,20,2,16,24.0
3/29/2023,16,5320304,1,92,23,18,1,10,40.0
3/29/2023,10,6972147,1,65,34,7,1,11,27.500000000000004
3/29/2023,16,5969542,1,132,38,14,1,15,60.0
3/29/2023,17,6357057,1,115,55,6,2,10,42.5
3/29/2023,12,8017459,1,97,27,7,1,17,50.99999999999999
3/29/2023,7,5914098,2,77,36,4,0,13,22.75
3/29/2023,7,7668789,2,65,56,14,2,11,19.25
3/29/2023,11,5047308,1,97,54,10,2,17,46.75
3/29/2023,20,5512912,1,93,13,11,2,16,80.0
3/29/2023,8,5336262,1,95,7,4,2,12,24.0
3/29/2023,11,4077445,1,171,8,17,2,10,27.500000000000004
3/29/2023,13,6637228,1,86,21,14,2,11,35.75
3/29/2023,13,6055831,1,138,18,7,2,13,42.24999999999999
3/29/2023,11,6352527,1,149,67,8,1,11,30.25
3/29/2023,8,8890656,1,97,47,18,0,13,26.0
3/29/2023,14,5832477,1,183,23,7,2,15,52.5
3/29/2023,9,5948761,2,116,16,4,1,14,31.5
3/29/2023,10,6926229,1,55,45,4,1,12,30.0
3/29/2023,13,6901475,2,131,32,17,2,11,35.75
3/29/2023,20,1668202,2,178,32,10,0,13,65.0
3/29/2023,9,8710978,2,121,59,9,0,14,31.5
3/29/2023,11,8219752,2,165,37,11,2,16,44.00000000000001
3/29/2023,9,3247758,1,50,16,5,2,12,27.0
3/29/2023,14,2472563,1,106,52,8,1,14,49.00000000000001
3/29/2023,14,1886327,1,90,20,14,1,9,31.5
3/29/2023,20,5401961,1,182,58,5,0,15,75.0
3/29/2023,16,8315063,1,68,54,10,2,14,56.00000000000001
3/29/2023,13,5107711,2,69,10,16,2,8,26.0
3/30/2023,20,4622921,2,175,8,11,0,9,45.0
3/30/2023,15,3525347,1,29,29,12,1,6,22.5
3/30/2023,18,6023536,2,114,14,13,2,15,67.5
3/30/2023,14,8121491,2,146,14,16,0,12,42.0
3/30/2023,13,6737029,2,95,12,4,2,16,52.0
3/30/2023,20,7237027,1,172,62,6,2,9,45.0
3/30/2023,18,7857079,1,126,7,10,2,16,72.0
3/30/2023,10,6417716,2,56,68,17,2,13,32.5
3/30/2023,11,4391193,2,74,54,16,2,8,22.000000000000004
3/30/2023,16,4228484,1,60,10,4,1,14,56.00000000000001
3/30/2023,15,7489125,2,142,33,8,2,10,37.5
3/30/2023,10,4229972,1,155,44,9,0,13,32.5
3/30/2023,10,8306516,1,118,13,9,1,8,20.0
3/30/2023,12,7884210,1,36,26,15,0,8,24.0
3/30/2023,14,8881229,1,192,15,15,2,15,52.5
3/30/2023,8,6076194,1,107,45,13,2,13,26.0
3/30/2023,14,6030152,2,99,38,11,2,17,59.5
3/30/2023,12,5515267,1,167,68,8,0,16,48.0
3/30/2023,14,6280132,1,139,35,10,2,9,31.5
3/30/2023,7,7903910,1,115,51,5,0,14,24.500000000000004
3/30/2023,10,7054461,1,178,55,7,1,15,37.5
3/30/2023,16,7892893,1,44,36,5,2,15,60.0
3/30/2023,11,5982323,1,41,30,14,1,8,22.000000000000004
3/30/2023,15,3641248,1,41,44,5,0,12,45.0
3/30/2023,18,3268803,2,134,46,12,1,13,58.5
3/30/2023,13,5017744,1,52,39,8,1,16,52.0
3/30/2023,10,8513663,1,175,66,7,2,9,22.5
3/30/2023,13,8454788,2,182,68,10,1,11,35.75
3/30/2023,11,4197388,1,136,68,12,1,12,33.0
3/30/2023,8,5611003,2,151,49,9,1,17,34.0
3/30/2023,10,5359722,1,106,45,16,2,14,35.0
3/30/2023,7,4821283,1,68,28,4,0,9,15.75
3/30/2023,10,5214254,1,70,66,11,1,13,32.5
3/30/2023,17,8729858,2,160,61,15,0,10,42.5
3/30/2023,18,6574180,2,37,47,13,1,13,58.5
3/31/2023,17,8308690,1,117,65,13,0,18,76.5
3/31/2023,10,8782091,1,83,70,20,1,13,32.5
3/31/2023,15,8328325,1,170,43,11,1,13,48.75
3/31/2023,9,4919711,1,101,17,8,1,10,22.5
3/31/2023,14,6363488,2,173,42,15,1,12,42.0
3/31/2023,17,3709879,2,153,43,6,2,9,38.25
3/31/2023,13,7906791,2,172,54,4,0,12,39.0
3/31/2023,15,6397886,2,156,41,8,2,8,30.0
3/31/2023,15,5150743,1,109,49,6,2,10,37.5
3/31/2023,14,8428926,1,153,45,7,1,11,38.5
3/31/2023,9,8308376,2,59,57,15,1,17,38.25
3/31/2023,11,7595013,1,72,56,11,2,9,24.75
3/31/2023,12,8401442,1,154,7,4,0,13,39.0
3/31/2023,13,3817455,2,111,13,12,0,11,35.75
3/31/2023,9,9026415,1,67,21,14,2,8,18.0
3/31/2023,19,8058215,1,41,49,8,0,12,56.99999999999999
3/31/2023,15,5264346,1,163,50,5,2,13,48.75
3/31/2023,9,7313292,2,56,14,11,1,8,18.0
